Product_ID,Specs
128,"Canon  SX150 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
129,"Canon  ELPH 100 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
130,"Canon  SX40 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
131,"Canon  A2200 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
132,"Canon  Rebel T3i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
133,"Canon  SX230 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
134,"Canon  S100 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm²."
135,"Canon  A1200 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
136,"Canon -1D X comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm²."
137,"Canon  Rebel T3 comes with a  22.2 x 14.8 mm CMOS sensor, which has a diagonal of  26.68 mm (1.05"") and a surface area of 328.56 mm²."
138,"Canon  A800 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
139,"Canon IXUS 1100 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
140,"Canon IXUS 130 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
141,"Canon  SX30 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
142,"Canon  A3000 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
143,"Canon  60D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
144,"Canon IXUS 105 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
145,"Canon  G12 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CCD sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm²."
146,"Canon  A3100 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
147,"Canon  SD4000 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
148,"Canon  Rebel T2i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm²."
149,"Canon  SD4500 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
150,"Canon  SX210 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
151,"Canon  SD4500 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
152,"Canon  SX210 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
153,"Canon  A490 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
154,"Canon  SX130 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
155,"Canon IXUS 210 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
156,"Canon  G11 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CCD sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm²."
157,"Canon  D10 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm²."
