ID,Attribute,Value
38,USB,USB 3.2 Gen 1 (5 GBit/sec)
38,Weight (inc. batteries),445 g (0.98 lb / 15.70 oz)
38,Dimensions,135 x 94 x 44 mm (5.31 x 3.7 x 1.73″)
38,GPS,None
39,Body type,Rangefinder-style mirrorless
39,Max resolution,5184 x 3888
39,Effective pixels,20 megapixels
39,Sensor size,Four Thirds (17.4 x 13 mm)
39,Sensor type,CMOS
39,ISO,"Auto, 200-25600 (expands to 100-25600)"
39,Lens mount,Micro Four Thirds
39,Focal length mult.,2×
39,Articulated LCD,Tilting
39,Screen size,3″
39,Screen dots,"1,040,000"
39,Max shutter speed,1/4000 sec
39,Format,"MPEG-4, H.264"
39,Storage types,SD/SDHC/SDXC card (UHS-II supported)
39,USB,USB 2.0 (480 Mbit/sec)
39,Weight (inc. batteries),337 g (0.74 lb / 11.89 oz)
39,Dimensions,118 x 69 x 38 mm (4.65 x 2.72 x 1.5″)
39,GPS,None
40,Body type,SLR-style mirrorless
40,Max resolution,5184 x 3888
40,Effective pixels,20 megapixels
40,Sensor size,Four Thirds (17.3 x 13 mm)
40,Sensor type,CMOS
40,ISO,"Auto, 200-25600 (expands to 100-25600)"
40,Lens mount,Micro Four Thirds
40,Focal length mult.,2×
40,Articulated LCD,Fully articulated
40,Screen size,3″
40,Screen dots,"1,840,000"
40,Max shutter speed,1/8000 sec
40,Format,"MPEG-4, H.264, H.265"
40,Storage types,Dual SD/SDHC/SDXC (UHS-II compatible)
40,USB,USB 3.2 Gen 1 (5 GBit/sec)
40,Weight (inc. batteries),727 g (1.60 lb / 25.64 oz)
40,Dimensions,139 x 98 x 87 mm (5.47 x 3.86 x 3.43″)
40,GPS,None
41,Body type,SLR-style mirrorless
41,Max resolution,6000 x 4000
41,Effective pixels,24 megapixels
41,Sensor size,Full frame (36 x 24 mm)
41,Sensor type,Stacked CMOS
41,ISO,"Auto, 100-102400 (expands to 50-204800)"
41,Lens mount,Canon RF
41,Focal length mult.,1×
41,Articulated LCD,Fully articulated
41,Screen size,3.2″
41,Screen dots,"4,150,000"
41,Max shutter speed,1/8000 sec
41,Format,"MPEG-4, H.264, H.265"
41,Storage types,SD/SDHC/SDXC (UHS-II supported) + CFexpress Type B
41,USB,USB 3.2 Gen 2 (10 GBit/sec)
41,Weight (inc. batteries),1015 g (2.24 lb / 35.80 oz)
41,Dimensions,150 x 143 x 87 mm (5.91 x 5.63 x 3.43″)
41,GPS,Built-in
43,Body type,SLR-style mirrorless
43,Max resolution,7952 x 5304
43,Effective pixels,42 megapixels
43,Sensor size,Full frame (35.9 x 24 mm)
43,Sensor type,BSI-CMOS
43,ISO,"Auto, 100-32000 (expands to 50-102400)"
43,Lens mount,Sony E
43,Focal length mult.,1×
43,Articulated LCD,Tilting
43,Screen size,3″
43,Screen dots,"2,360,000"
43,Max shutter speed,1/8000 sec
43,Format,"MPEG-4, AVCHD, XAVC S"
43,Storage types,Two SD/SDHC/SDXC slots (UHS-II support on one)
43,USB,USB 3.2 Gen 1 (5 GBit/sec)
43,Weight (inc. batteries),657 g (1.45 lb / 23.17 oz)
43,Dimensions,127 x 96 x 74 mm (5 x 3.78 x 2.91″)
43,GPS,None
44,Body type,Mid-size SLR
44,Max resolution,6192 x 4128
44,Effective pixels,26 megapixels
44,Sensor size,APS-C (23 x 15.5 mm)
44,Sensor type,CMOS
44,ISO,Auto (100-1600000)
44,Lens mount,Pentax KAF2
44,Focal length mult.,1.5×
44,Articulated LCD,Fixed
44,Screen size,3.2″
44,Screen dots,"1,620,000"
44,Max shutter speed,1/8000 sec
